epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q,mean_q_considered
148,14,6690.0,477.857142857,1285.0,9.22382208481,8.15587128874
149,14,6770.0,483.571428571,740.0,9.23999132574,8.12443561812
150,11,6665.0,605.909090909,935.0,9.26368133754,7.87334036062
151,10,6590.0,659.0,1120.0,9.2417736806,8.0914922753
152,10,5505.0,550.5,905.0,9.16797863081,7.76695401461
153,13,3110.0,239.230769231,425.0,9.19022789404,8.94375512762
154,15,7200.0,480.0,645.0,9.19958404437,8.14110737238
155,8,5920.0,740.0,1230.0,9.14207745805,7.53598936194
156,12,5800.0,483.333333333,570.0,9.09684166282,7.42449719409
157,11,6080.0,552.727272727,1095.0,9.13543242261,7.97824526066
158,9,5550.0,616.666666667,1095.0,9.14222560212,7.31366956553
159,11,5605.0,509.545454545,1090.0,9.06488330618,8.19714562427
160,11,5905.0,536.818181818,770.0,9.17297497258,7.34903513157
161,13,4780.0,367.692307692,805.0,9.22321522266,7.89187107672
162,12,3320.0,276.666666667,575.0,9.18007973656,8.18546522444
163,12,1880.0,156.666666667,345.0,9.25022018135,8.24851444029
164,13,6960.0,535.384615385,770.0,9.14191260353,7.78206545936
165,12,6470.0,539.166666667,995.0,9.12967882156,7.7231852854
166,11,5825.0,529.545454545,845.0,9.23797916323,7.97718277641
167,12,7090.0,590.833333333,1320.0,9.2128585799,7.87220910411
168,12,6055.0,504.583333333,890.0,9.18077241197,8.17555403748
169,9,5850.0,650.0,920.0,9.24885638118,7.49777035036
170,11,6820.0,620.0,1280.0,9.22018420339,7.59809995756
171,13,5015.0,385.769230769,770.0,9.21082867146,7.85460753544
172,11,4175.0,379.545454545,530.0,9.27061714455,8.06934406723
173,12,6050.0,504.166666667,1115.0,9.30420394242,8.36686536123
174,12,7065.0,588.75,825.0,9.28350428835,7.76036368844
175,12,5070.0,422.5,555.0,9.19585246101,7.24754553873
